Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5008806,1,1,1,0,112500,4,4,1,1,1,0,0,0,16,2,59,4,0,30,1
5008808,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,5,1
5008809,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,5,1
5008810,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,27,1
5008811,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,39,1
5008815,1,1,1,0,270000,4,1,1,1,1,1,1,1,0,2,47,3,0,6,1
5008819,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,8,1
5008820,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9,1
5008821,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9,1
5008822,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9,1
5008823,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,5,1
5008824,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,4,1
5008825,0,1,0,0,130500,4,2,1,1,1,0,0,0,0,2,30,4,1,25,1
5008826,0,1,0,0,130500,4,2,1,1,1,0,0,0,0,2,30,4,7,23,1
5008830,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,30,1
5008831,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,18,1
5008832,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,33,1
5008836,1,1,1,3,270000,4,4,1,1,1,0,0,0,8,5,35,4,0,17,1
5008837,1,1,1,3,270000,4,4,1,1,1,0,0,0,8,5,35,4,0,17,1
5008838,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,31,1
5008839,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,14,1
5008840,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,56,1
5008841,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,5,1
5008842,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,9,1
5008843,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,30,1
5008844,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,33,1
5008846,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12,1
5008847,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,33,1
5008849,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12,1
5008850,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,26,1
